Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,20.453886699999998,4.7450687,15.708817999999999,74.93043335942578,4.76995999058782,,16.7751727,13
Police station ,15.9301131,6.0206041,9.909509,137.91079527232776,13.91701599668841,,9.826168000000003,13
Fire Station,18.7706234,3.5628454,15.207778000000001,140.29082578812051,9.224939092885267,,15.103155999999995,16
Bank,55.568622,4.438029,51.130593,312.88949201166554,6.119418407912178,,52.873435,37
Pawn Shop,99.477832,6.429832,93.048,618.0994675495015,6.6428022907478015,,98.53838000000005,85
Pizzeria,19.2356287,2.7839587,16.451670000000004,132.6463046942007,8.062786616446882,,17.8952267,15
Quattroki Restaurant,30.3674263,4.9998093,25.367617000000003,228.46849440448838,9.00630494399566,,26.5419313,26
High School,15.8121501,4.0486611,11.763488999999998,214.00990130570526,18.192723375327276,,15.235321099999998,19
