ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
NAV064_t3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
NAV064_t3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
NAV064_t3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
NAV064_t3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(349.7, 356.2, 4.8)
NAV064_t3,0,-4.1,4,0.4425662,0.4425662,Automobile shop,(345.9, 355.8, 5.2)
NAV064_t3,0,-4.1,5,0.4514601,0.4514601,Automobile shop,(345.8, 355.8, 5.2)
NAV064_t3,0,-4.1,6,0.456868,0.456868,Automobile shop,(345.7, 355.8, 5.2)
NAV064_t3,0,-4.1,7,0.4638107,0.4638107,Automobile shop,(345.7, 355.8, 5.2)
NAV064_t3,0,-4.1,8,0.4710112,0.4710112,Automobile shop,(345.6, 355.8, 5.2)
NAV064_t3,0,-4.1,9,0.4775714,0.4775714,Automobile shop,(345.6, 355.8, 5.2)
NAV064_t3,0,-4.1,10,0.4845456,0.4845456,Automobile shop,(345.5, 355.8, 5.2)
NAV064_t3,0,-4.1,11,0.4915056,0.4915056,Automobile shop,(345.5, 355.8, 5.2)
NAV064_t3,0,-4.1,12,0.4984266,0.4984266,Automobile shop,(345.4, 355.8, 5.2)
NAV064_t3,0,-4.1,13,0.5206242,0.5206242,Automobile shop,(345.3, 355.8, 5.2)
NAV064_t3,0,-4.1,14,0.5272288,0.5272288,Automobile shop,(345.2, 355.8, 5.2)
NAV064_t3,0,-4.1,15,0.5338666,0.5338666,Automobile shop,(345.1, 355.8, 5.2)
NAV064_t3,0,-4.1,16,0.54036,0.54036,Automobile shop,(345.1, 355.8, 5.3)
NAV064_t3,0,-4.1,17,0.5476743,0.5476743,Automobile shop,(345.0, 355.8, 5.2)
NAV064_t3,0,-4.1,18,0.5545742,0.5545742,Automobile shop,(344.9, 355.8, 5.3)
NAV064_t3,0,-4.1,19,0.561414,0.561414,Automobile shop,(344.9, 355.8, 5.3)
NAV064_t3,0,-4.1,20,0.5683931,0.5683931,Automobile shop,(344.8, 355.8, 5.3)
NAV064_t3,0,-4.1,21,0.5752769,0.5752769,Automobile shop,(344.8, 355.8, 5.3)
NAV064_t3,0,-4.1,22,0.5823071,0.5823071,Automobile shop,(344.7, 355.8, 5.3)
NAV064_t3,0,-4.1,23,0.5892333,0.5892333,Automobile shop,(344.7, 355.8, 5.3)
NAV064_t3,0,-4.1,24,0.5968436,0.5968436,Automobile shop,(344.6, 355.8, 5.3)
NAV064_t3,0,-4.1,25,0.6029914,0.6029914,Automobile shop,(344.5, 355.8, 5.3)
NAV064_t3,0,-4.1,26,0.6101895,0.6101895,Automobile shop,(344.5, 355.8, 5.3)
NAV064_t3,0,-4.1,27,0.6170972,0.6170972,Automobile shop,(344.4, 355.8, 5.3)
NAV064_t3,0,-4.1,28,0.6237997,0.6237997,Automobile shop,(344.3, 355.8, 5.3)
NAV064_t3,0,-4.1,29,0.6308516,0.6308516,Automobile shop,(344.3, 355.8, 5.3)
NAV064_t3,0,-4.1,30,0.7896917,0.7896917,Automobile shop,(342.2, 355.4, 5.5)
NAV064_t3,0,-4.1,31,0.8111886,0.8111886,Automobile shop,(341.9, 355.3, 5.5)
NAV064_t3,0,-4.1,32,0.8160378,0.8160378,Automobile shop,(341.8, 355.3, 5.5)
NAV064_t3,0,-4.1,33,0.8192975,0.8192975,Automobile shop,(341.7, 355.3, 5.5)
NAV064_t3,0,-4.1,34,0.8252159,0.8252159,Automobile shop,(341.6, 355.2, 5.5)
NAV064_t3,0,-4.1,35,0.8320376,0.8320376,Automobile shop,(341.5, 355.2, 5.5)
NAV064_t3,0,-4.1,36,0.8390943,0.8390943,Automobile shop,(341.4, 355.2, 5.6)
NAV064_t3,0,-4.1,37,0.8460966,0.8460966,Automobile shop,(341.3, 355.2, 5.6)
NAV064_t3,0,-4.1,38,0.8532047,0.8532047,Automobile shop,(341.2, 355.2, 5.6)
NAV064_t3,0,-4.1,39,0.8604735,0.8604735,Automobile shop,(341.1, 355.1, 5.6)
NAV064_t3,0,-4.1,40,0.8668141,0.8668141,Automobile shop,(341.0, 355.1, 5.6)
NAV064_t3,0,-4.1,41,0.873812,0.873812,Automobile shop,(340.9, 355.1, 5.6)
NAV064_t3,0,-4.1,42,0.8810454,0.8810454,Automobile shop,(340.8, 355.1, 5.6)
NAV064_t3,0,-4.1,43,0.887985,0.887985,Automobile shop,(340.7, 355.1, 5.6)
NAV064_t3,0,-4.1,44,0.8949008,0.8949008,Automobile shop,(340.6, 355.1, 5.6)
NAV064_t3,0,-4.1,45,0.9017119,0.9017119,Automobile shop,(340.5, 355.1, 5.6)
NAV064_t3,0,-4.1,46,0.9088761,0.9088761,Automobile shop,(340.4, 355.0, 5.6)
NAV064_t3,0,-4.1,47,0.9154882,0.9154882,Automobile shop,(340.3, 355.0, 5.6)
NAV064_t3,0,-4.1,48,0.9227176,0.9227176,Automobile shop,(340.2, 355.0, 5.6)
NAV064_t3,0,-4.1,49,0.9296075,0.9296075,Automobile shop,(340.1, 355.0, 5.6)
NAV064_t3,0,-4.1,50,0.9365141,0.9365141,Automobile shop,(340.0, 355.0, 5.5)
NAV064_t3,0,-4.1,51,0.9435185,0.9435185,Automobile shop,(340.0, 355.0, 5.5)
NAV064_t3,0,-4.1,52,0.950483,0.950483,Automobile shop,(339.9, 355.0, 5.5)
NAV064_t3,0,-4.1,53,0.9574291,0.9574291,Automobile shop,(339.8, 355.0, 5.5)
NAV064_t3,0,-4.1,54,0.9656764,0.9656764,Automobile shop,(339.7, 355.0, 5.5)
NAV064_t3,0,-4.1,55,0.9711449,0.9711449,Automobile shop,(339.6, 355.0, 5.5)
NAV064_t3,0,-4.1,56,0.9791422,0.9791422,Automobile shop,(339.6, 354.9, 5.5)
NAV064_t3,0,-4.1,57,0.9850692,0.9850692,Automobile shop,(339.5, 354.9, 5.5)
NAV064_t3,0,-4.1,58,0.9923207,0.9923207,Automobile shop,(339.4, 354.9, 5.5)
NAV064_t3,0,-4.1,59,0.9993232,0.9993232,Automobile shop,(339.3, 354.8, 5.5)
NAV064_t3,0,-4.1,60,1.005768,1.005768,Automobile shop,(339.2, 354.8, 5.5)
NAV064_t3,0,-4.1,61,1.012917,1.012917,Automobile shop,(339.1, 354.8, 5.5)
NAV064_t3,0,-4.1,62,1.01957,1.01957,Automobile shop,(339.0, 354.8, 5.5)
NAV064_t3,0,-4.1,63,1.026825,1.026825,Automobile shop,(338.9, 354.7, 5.5)
NAV064_t3,0,-4.1,64,1.033553,1.033553,Automobile shop,(338.8, 354.7, 5.5)
NAV064_t3,0,-4.1,65,1.040632,1.040632,Automobile shop,(338.7, 354.7, 5.5)
NAV064_t3,0,-4.1,66,1.047403,1.047403,Automobile shop,(338.6, 354.7, 5.5)
NAV064_t3,0,-4.1,67,1.054427,1.054427,Automobile shop,(338.6, 354.7, 5.5)
NAV064_t3,0,-4.1,68,1.061318,1.061318,Automobile shop,(338.5, 354.6, 5.5)
NAV064_t3,0,-4.1,69,1.068204,1.068204,Automobile shop,(338.4, 354.6, 5.5)
NAV064_t3,0,-4.1,70,1.075513,1.075513,Automobile shop,(338.3, 354.6, 5.5)
NAV064_t3,0,-4.1,71,1.08209,1.08209,Automobile shop,(338.3, 354.6, 5.5)
NAV064_t3,0,-4.1,72,1.089104,1.089104,Automobile shop,(338.2, 354.6, 5.5)
NAV064_t3,0,-4.1,73,1.095978,1.095978,Automobile shop,(338.1, 354.6, 5.4)
NAV064_t3,0,-4.1,74,1.102876,1.102876,Automobile shop,(338.1, 354.6, 5.4)
NAV064_t3,0,-4.1,75,1.109973,1.109973,Automobile shop,(338.0, 354.7, 5.4)
NAV064_t3,0,-4.1,76,1.116899,1.116899,Automobile shop,(338.0, 354.7, 5.4)
NAV064_t3,0,-4.1,77,1.123751,1.123751,Automobile shop,(337.9, 354.7, 5.4)
NAV064_t3,0,-4.1,78,1.130987,1.130987,Automobile shop,(337.9, 354.7, 5.4)
NAV064_t3,0,-4.1,79,1.137733,1.137733,Automobile shop,(337.8, 354.7, 5.4)
NAV064_t3,0,-4.1,80,1.144731,1.144731,Automobile shop,(337.8, 354.7, 5.4)
NAV064_t3,0,-4.1,81,1.15192,1.15192,Automobile shop,(337.7, 354.7, 5.4)
NAV064_t3,0,-4.1,82,1.159118,1.159118,Automobile shop,(337.7, 354.8, 5.4)
NAV064_t3,0,-4.1,83,1.166248,1.166248,Automobile shop,(337.6, 354.8, 5.4)
NAV064_t3,0,-4.1,84,1.173491,1.173491,Automobile shop,(337.6, 354.8, 5.4)
NAV064_t3,0,-4.1,85,1.180412,1.180412,Automobile shop,(337.6, 354.8, 5.4)
NAV064_t3,0,-4.1,86,1.187112,1.187112,Automobile shop,(337.5, 354.8, 5.4)
NAV064_t3,0,-4.1,87,1.194046,1.194046,Automobile shop,(337.5, 354.8, 5.4)
NAV064_t3,0,-4.1,88,1.201096,1.201096,Automobile shop,(337.5, 354.8, 5.4)
NAV064_t3,0,-4.1,89,1.207922,1.207922,Automobile shop,(337.4, 354.8, 5.4)
NAV064_t3,0,-4.1,90,1.214969,1.214969,Automobile shop,(337.4, 354.8, 5.3)
NAV064_t3,0,-4.1,91,1.221847,1.221847,Automobile shop,(337.4, 354.8, 5.3)
NAV064_t3,0,-4.1,92,1.228953,1.228953,Automobile shop,(337.4, 354.8, 5.3)
NAV064_t3,0,-4.1,93,1.236005,1.236005,Automobile shop,(337.4, 354.8, 5.3)
NAV064_t3,0,-4.1,94,1.242653,1.242653,Automobile shop,(337.4, 354.8, 5.3)
NAV064_t3,0,-4.1,95,1.249726,1.249726,Automobile shop,(337.4, 354.9, 5.3)
NAV064_t3,0,-4.1,96,1.256692,1.256692,Automobile shop,(337.4, 354.9, 5.3)
NAV064_t3,0,-4.1,97,1.263468,1.263468,Automobile shop,(337.4, 354.9, 5.3)
NAV064_t3,0,-4.1,98,1.270391,1.270391,Automobile shop,(337.4, 354.9, 5.3)
NAV064_t3,0,-4.1,99,1.277432,1.277432,Automobile shop,(337.4, 354.9, 5.3)
NAV064_t3,0,-4.1,100,1.288798,1.288798,Automobile shop,(337.3, 354.9, 5.3)
NAV064_t3,0,-4.1,101,1.293886,1.293886,Automobile shop,(337.3, 354.9, 5.3)
NAV064_t3,0,-4.1,102,1.298133,1.298133,Automobile shop,(337.3, 354.9, 5.3)
NAV064_t3,0,-4.1,103,1.3048,1.3048,Automobile shop,(337.3, 354.9, 5.3)
NAV064_t3,0,-4.1,104,1.311627,1.311627,Automobile shop,(337.3, 354.9, 5.3)
NAV064_t3,0,-4.1,105,1.318729,1.318729,Automobile shop,(337.2, 355.0, 5.3)
NAV064_t3,0,-4.1,106,1.325589,1.325589,Automobile shop,(337.2, 355.0, 5.3)
NAV064_t3,0,-4.1,107,1.332562,1.332562,Automobile shop,(337.2, 355.0, 5.3)
NAV064_t3,0,-4.1,108,1.339468,1.339468,Automobile shop,(337.2, 355.0, 5.3)
NAV064_t3,0,-4.1,109,1.34651,1.34651,Automobile shop,(337.2, 355.0, 5.3)
NAV064_t3,0,-4.1,110,1.353559,1.353559,Automobile shop,(337.2, 355.1, 5.3)
NAV064_t3,0,-4.1,111,1.360237,1.360237,Automobile shop,(337.2, 355.1, 5.3)
NAV064_t3,0,-4.1,112,1.368014,1.368014,Automobile shop,(337.2, 355.1, 5.3)
NAV064_t3,0,-4.1,113,1.375123,1.375123,Automobile shop,(337.2, 355.1, 5.3)
NAV064_t3,0,-4.1,114,1.381129,1.381129,Automobile shop,(337.2, 355.1, 5.3)
NAV064_t3,0,-4.1,115,1.388396,1.388396,Automobile shop,(337.2, 355.2, 5.3)
NAV064_t3,0,-4.1,116,1.395,1.395,Automobile shop,(337.2, 355.2, 5.3)
NAV064_t3,0,-4.1,117,1.402707,1.402707,Automobile shop,(337.3, 355.2, 5.3)
NAV064_t3,0,-4.1,118,1.409987,1.409987,Automobile shop,(337.3, 355.3, 5.3)
NAV064_t3,0,-4.1,119,1.41677,1.41677,Automobile shop,(337.3, 355.3, 5.3)
NAV064_t3,0,-4.1,120,1.423693,1.423693,Automobile shop,(337.3, 355.3, 5.3)
NAV064_t3,0,-4.1,121,1.432445,1.432445,Automobile shop,(337.3, 355.3, 5.3)
NAV064_t3,0,-4.1,122,1.439388,1.439388,Automobile shop,(337.2, 355.3, 5.3)
NAV064_t3,0,-4.1,123,1.443579,1.443579,Automobile shop,(337.2, 355.4, 5.3)
NAV064_t3,0,-4.1,124,1.450729,1.450729,Automobile shop,(337.2, 355.4, 5.3)
NAV064_t3,0,-4.1,125,1.457633,1.457633,Automobile shop,(337.2, 355.4, 5.3)
NAV064_t3,0,-4.1,126,1.464544,1.464544,Automobile shop,(337.2, 355.5, 5.3)
NAV064_t3,0,-4.1,127,1.471565,1.471565,Automobile shop,(337.2, 355.5, 5.3)
NAV064_t3,0,-4.1,128,1.478418,1.478418,Automobile shop,(337.1, 355.5, 5.3)
NAV064_t3,0,-4.1,129,1.485386,1.485386,Automobile shop,(337.1, 355.6, 5.3)
NAV064_t3,0,-4.1,130,1.492247,1.492247,Automobile shop,(337.1, 355.6, 5.3)
NAV064_t3,0,-4.1,131,1.499196,1.499196,Automobile shop,(337.1, 355.7, 5.3)
NAV064_t3,0,-4.1,132,1.506633,1.506633,Automobile shop,(337.0, 355.7, 5.3)
NAV064_t3,0,-4.1,133,1.512955,1.512955,Automobile shop,(337.0, 355.8, 5.3)
NAV064_t3,0,-4.1,134,1.519892,1.519892,Automobile shop,(337.0, 355.8, 5.4)
NAV064_t3,0,-4.1,135,1.526926,1.526926,Automobile shop,(336.9, 355.9, 5.4)
NAV064_t3,0,-4.1,136,1.533757,1.533757,Automobile shop,(336.9, 355.9, 5.4)
NAV064_t3,0,-4.1,137,1.540747,1.540747,Automobile shop,(336.8, 356.0, 5.4)
NAV064_t3,0,-4.1,138,1.547731,1.547731,Automobile shop,(336.8, 356.1, 5.4)
NAV064_t3,0,-4.1,139,1.556224,1.556224,Automobile shop,(336.7, 356.1, 5.4)
NAV064_t3,0,-4.1,140,1.562042,1.562042,Automobile shop,(336.7, 356.2, 5.4)
NAV064_t3,0,-4.1,141,1.568701,1.568701,Automobile shop,(336.7, 356.2, 5.4)
NAV064_t3,0,-4.1,142,1.575546,1.575546,Automobile shop,(336.7, 356.3, 5.4)
NAV064_t3,0,-4.1,143,1.582428,1.582428,Automobile shop,(336.7, 356.3, 5.4)
NAV064_t3,0,-4.1,144,1.589473,1.589473,Automobile shop,(336.6, 356.4, 5.4)
NAV064_t3,0,-4.1,145,1.596442,1.596442,Automobile shop,(336.7, 356.5, 5.3)
NAV064_t3,0,-4.1,146,1.603245,1.603245,Automobile shop,(336.6, 356.5, 5.3)
NAV064_t3,0,-4.1,147,1.610226,1.610226,Automobile shop,(336.6, 356.6, 5.3)
NAV064_t3,0,-4.1,148,1.617249,1.617249,Automobile shop,(336.6, 356.6, 5.3)
NAV064_t3,0,-4.1,149,1.624145,1.624145,Automobile shop,(336.6, 356.7, 5.3)
NAV064_t3,0,-4.1,150,1.631004,1.631004,Automobile shop,(336.6, 356.7, 5.3)
NAV064_t3,0,-4.1,151,1.638038,1.638038,Automobile shop,(336.6, 356.8, 5.3)
NAV064_t3,0,-4.1,152,1.644827,1.644827,Automobile shop,(336.6, 356.8, 5.3)
NAV064_t3,0,-4.1,153,1.651711,1.651711,Automobile shop,(336.6, 356.8, 5.4)
NAV064_t3,0,-4.1,154,1.658882,1.658882,Automobile shop,(336.6, 356.8, 5.4)
NAV064_t3,0,-4.1,155,1.666029,1.666029,Automobile shop,(336.6, 356.8, 5.5)
NAV064_t3,0,-4.1,156,1.67304,1.67304,Automobile shop,(336.6, 356.7, 5.5)
NAV064_t3,0,-4.1,157,1.680173,1.680173,Automobile shop,(336.6, 356.7, 5.5)
NAV064_t3,0,-4.1,158,1.686934,1.686934,Automobile shop,(336.7, 356.7, 5.5)
NAV064_t3,0,-4.1,159,1.694025,1.694025,Automobile shop,(336.7, 356.6, 5.5)
NAV064_t3,0,-4.1,160,1.701013,1.701013,Automobile shop,(336.8, 356.6, 5.6)
NAV064_t3,0,-4.1,161,1.707993,1.707993,Automobile shop,(336.8, 356.5, 5.6)
NAV064_t3,0,-4.1,162,1.714905,1.714905,Automobile shop,(336.9, 356.4, 5.6)
NAV064_t3,0,-4.1,163,1.721909,1.721909,Automobile shop,(336.9, 356.3, 5.6)
NAV064_t3,0,-4.1,164,1.72898,1.72898,Automobile shop,(337.0, 356.3, 5.7)
NAV064_t3,0,-4.1,165,1.73581,1.73581,Automobile shop,(337.1, 356.1, 5.7)
NAV064_t3,0,-4.1,166,1.742711,1.742711,Automobile shop,(337.2, 356.0, 5.7)
NAV064_t3,0,-4.1,167,1.749663,1.749663,Automobile shop,(337.3, 355.8, 5.8)
NAV064_t3,0,-4.1,168,1.756603,1.756603,Automobile shop,(337.4, 355.7, 5.8)
NAV064_t3,0,-4.1,169,1.7636,1.7636,Automobile shop,(337.6, 355.5, 5.8)
NAV064_t3,0,-4.1,170,1.770522,1.770522,Automobile shop,(337.7, 355.3, 5.8)
NAV064_t3,0,-4.1,171,1.777424,1.777424,Automobile shop,(337.8, 355.2, 5.8)
NAV064_t3,0,-4.1,172,1.784492,1.784492,Automobile shop,(338.0, 355.0, 5.8)
NAV064_t3,0,-4.1,173,1.791444,1.791444,Automobile shop,(338.2, 354.8, 5.9)
NAV064_t3,0,-4.1,174,1.798247,1.798247,Automobile shop,(338.4, 354.6, 5.9)
NAV064_t3,0,-4.1,175,1.805386,1.805386,Automobile shop,(338.7, 354.4, 5.9)
NAV064_t3,0,-4.1,176,1.812457,1.812457,Automobile shop,(338.9, 354.1, 6.0)
NAV064_t3,0,-4.1,177,1.819433,1.819433,Automobile shop,(339.2, 353.9, 6.0)
NAV064_t3,0,-4.1,178,1.826197,1.826197,Automobile shop,(339.5, 353.7, 6.1)
NAV064_t3,0,-4.1,179,1.833011,1.833011,Automobile shop,(339.9, 353.4, 6.1)
NAV064_t3,0,-4.1,180,1.840106,1.840106,Automobile shop,(340.2, 353.2, 6.1)
NAV064_t3,0,-4.1,181,1.8469,1.8469,Automobile shop,(340.6, 353.0, 6.1)
NAV064_t3,0,-4.1,182,1.853771,1.853771,Automobile shop,(341.0, 352.7, 6.2)
NAV064_t3,0,-4.1,183,1.860974,1.860974,Automobile shop,(341.3, 352.5, 6.2)
NAV064_t3,0,-4.1,184,1.86782,1.86782,Automobile shop,(341.7, 352.2, 6.2)
NAV064_t3,0,-4.1,185,1.874693,1.874693,Automobile shop,(342.2, 351.9, 6.2)
NAV064_t3,0,-4.1,186,1.88158,1.88158,Automobile shop,(342.6, 351.6, 6.3)
NAV064_t3,0,-4.1,187,1.88854,1.88854,Automobile shop,(343.0, 351.3, 6.3)
NAV064_t3,0,-4.1,188,1.895552,1.895552,Automobile shop,(343.5, 351.1, 6.2)
NAV064_t3,0,-4.1,189,1.90244,1.90244,Automobile shop,(344.0, 350.8, 6.2)
NAV064_t3,0,-4.1,190,1.909297,1.909297,Automobile shop,(344.4, 350.5, 6.2)
NAV064_t3,0,-4.1,191,1.916278,1.916278,Automobile shop,(344.9, 350.3, 6.1)
NAV064_t3,0,-4.1,192,1.923396,1.923396,Automobile shop,(345.4, 350.0, 6.1)
NAV064_t3,0,-4.1,193,1.930216,1.930216,Automobile shop,(345.9, 349.7, 6.1)
NAV064_t3,0,-4.1,194,1.937047,1.937047,Automobile shop,(346.4, 349.5, 6.0)
NAV064_t3,0,-4.1,195,1.944145,1.944145,Automobile shop,(346.9, 349.2, 6.0)
NAV064_t3,0,-4.1,196,1.95093,1.95093,Automobile shop,(347.4, 349.0, 6.0)
NAV064_t3,0,-4.1,197,1.958126,1.958126,Automobile shop,(348.0, 348.7, 6.0)
NAV064_t3,0,-4.1,198,1.964843,1.964843,Automobile shop,(348.5, 348.5, 5.9)
NAV064_t3,0,-4.1,199,1.971825,1.971825,Automobile shop,(349.0, 348.2, 5.9)
NAV064_t3,0,-4.1,200,1.978892,1.978892,Automobile shop,(349.5, 348.0, 5.9)
NAV064_t3,0,-4.1,201,1.985767,1.985767,Automobile shop,(350.1, 347.8, 5.9)
NAV064_t3,0,-4.1,202,1.992733,1.992733,Automobile shop,(350.6, 347.6, 5.9)
NAV064_t3,0,-4.1,203,1.999627,1.999627,Automobile shop,(351.1, 347.3, 5.8)
NAV064_t3,0,-4.1,204,2.006586,2.006586,Automobile shop,(351.6, 347.1, 5.8)
NAV064_t3,0,-4.1,205,2.013584,2.013584,Automobile shop,(352.1, 347.0, 5.7)
NAV064_t3,0,-4.1,206,2.020442,2.020442,Automobile shop,(352.6, 346.8, 5.7)
NAV064_t3,0,-4.1,207,2.027375,2.027375,Automobile shop,(353.1, 346.7, 5.6)
NAV064_t3,0,-4.1,208,2.034291,2.034291,Automobile shop,(353.6, 346.5, 5.6)
NAV064_t3,0,-4.1,209,2.041517,2.041517,Automobile shop,(354.0, 346.4, 5.6)
NAV064_t3,0,-4.1,210,2.048172,2.048172,Automobile shop,(354.5, 346.3, 5.6)
NAV064_t3,0,-4.1,211,2.055081,2.055081,Automobile shop,(354.9, 346.2, 5.6)
NAV064_t3,0,-4.1,212,2.062023,2.062023,Automobile shop,(355.3, 346.1, 5.6)
NAV064_t3,0,-4.1,213,2.069024,2.069024,Automobile shop,(355.7, 345.9, 5.7)
NAV064_t3,0,-4.1,214,2.07603,2.07603,Automobile shop,(356.1, 345.8, 5.7)
NAV064_t3,0,-4.1,215,2.083135,2.083135,Automobile shop,(356.5, 345.7, 5.7)
NAV064_t3,0,-4.1,216,2.089921,2.089921,Automobile shop,(356.9, 345.6, 5.7)
NAV064_t3,0,-4.1,217,2.096876,2.096876,Automobile shop,(357.2, 345.5, 5.8)
NAV064_t3,0,-4.1,218,2.10393,2.10393,Automobile shop,(357.6, 345.5, 5.8)
NAV064_t3,0,-4.1,219,2.110829,2.110829,Automobile shop,(357.9, 345.4, 5.7)
NAV064_t3,0,-4.1,220,2.117644,2.117644,Automobile shop,(358.2, 345.4, 5.7)
NAV064_t3,0,-4.1,221,2.124631,2.124631,Automobile shop,(358.4, 345.3, 5.7)
NAV064_t3,0,-4.1,222,2.131577,2.131577,Automobile shop,(358.7, 345.3, 5.7)
NAV064_t3,0,-4.1,223,2.138618,2.138618,Automobile shop,(358.9, 345.2, 5.7)
NAV064_t3,0,-4.1,224,2.145423,2.145423,Automobile shop,(359.1, 345.1, 5.8)
NAV064_t3,0,-4.1,225,2.152347,2.152347,Automobile shop,(359.2, 345.0, 5.8)
NAV064_t3,0,-4.1,226,2.15931,2.15931,Automobile shop,(359.4, 344.9, 5.9)
NAV064_t3,0,-4.1,227,2.166727,2.166727,Automobile shop,(359.6, 344.8, 5.9)
NAV064_t3,0,-4.1,228,2.173633,2.173633,Automobile shop,(359.8, 344.7, 5.9)
NAV064_t3,0,-4.1,229,2.180272,2.180272,Automobile shop,(359.9, 344.5, 5.9)
NAV064_t3,0,-4.1,230,2.187171,2.187171,Automobile shop,(0.1, 344.3, 5.9)
NAV064_t3,0,-4.1,231,2.194662,2.194662,Automobile shop,(0.3, 344.1, 5.8)
NAV064_t3,0,-4.1,232,2.20112,2.20112,Automobile shop,(0.5, 343.9, 5.8)
NAV064_t3,0,-4.1,233,2.208177,2.208177,Automobile shop,(0.6, 343.7, 5.7)
NAV064_t3,0,-4.1,234,2.214988,2.214988,Automobile shop,(0.8, 343.5, 5.7)
NAV064_t3,0,-4.1,235,2.221796,2.221796,Automobile shop,(1.0, 343.3, 5.6)
NAV064_t3,0,-4.1,236,2.228785,2.228785,Automobile shop,(1.2, 343.1, 5.5)
NAV064_t3,0,-4.1,237,2.235648,2.235648,Automobile shop,(1.3, 342.9, 5.4)
NAV064_t3,0,-4.1,238,2.242654,2.242654,Automobile shop,(1.5, 342.7, 5.4)
NAV064_t3,0,-4.1,239,2.249547,2.249547,Automobile shop,(1.7, 342.5, 5.3)
NAV064_t3,0,-4.1,240,2.256539,2.256539,Automobile shop,(1.9, 342.3, 5.3)
NAV064_t3,0,-4.1,241,2.263691,2.263691,Automobile shop,(2.0, 342.0, 5.3)
NAV064_t3,0,-4.1,242,2.270512,2.270512,Automobile shop,(2.2, 341.8, 5.3)
NAV064_t3,0,-4.1,243,2.277401,2.277401,Automobile shop,(2.3, 341.5, 5.3)
NAV064_t3,0,-4.1,244,2.284513,2.284513,Automobile shop,(2.5, 341.2, 5.2)
NAV064_t3,0,-4.1,245,2.291227,2.291227,Automobile shop,(2.6, 340.9, 5.2)
NAV064_t3,0,-4.1,246,2.298207,2.298207,Automobile shop,(2.7, 340.6, 5.1)
NAV064_t3,0,-4.1,247,2.305093,2.305093,Automobile shop,(2.8, 340.3, 5.0)
NAV064_t3,0,-4.1,248,2.312212,2.312212,Automobile shop,(2.9, 340.1, 4.9)
NAV064_t3,0,-4.1,249,2.319069,2.319069,Automobile shop,(3.1, 339.8, 4.9)
NAV064_t3,0,-4.1,250,2.326016,2.326016,Automobile shop,(3.2, 339.6, 4.8)
NAV064_t3,0,-4.1,251,2.33293,2.33293,Automobile shop,(3.3, 339.4, 4.7)
NAV064_t3,0,-4.1,252,2.339906,2.339906,Automobile shop,(3.4, 339.2, 4.7)
NAV064_t3,0,-4.1,253,2.346919,2.346919,Automobile shop,(3.6, 339.0, 4.6)
NAV064_t3,0,-4.1,254,2.353783,2.353783,Automobile shop,(3.7, 338.9, 4.6)
NAV064_t3,0,-4.1,255,2.360767,2.360767,Automobile shop,(3.9, 338.8, 4.5)
NAV064_t3,0,-4.1,256,2.367619,2.367619,Automobile shop,(4.1, 338.7, 4.5)
NAV064_t3,0,-4.1,257,2.374519,2.374519,Automobile shop,(4.3, 338.6, 4.5)
NAV064_t3,0,-4.1,258,2.381566,2.381566,Automobile shop,(4.6, 338.5, 4.5)
NAV064_t3,0,-4.1,259,2.388475,2.388475,Automobile shop,(4.8, 338.4, 4.5)
NAV064_t3,0,-4.1,260,2.395471,2.395471,Automobile shop,(5.0, 338.4, 4.5)
NAV064_t3,0,-4.1,261,2.402342,2.402342,Automobile shop,(5.2, 338.4, 4.5)
NAV064_t3,0,-4.1,262,2.409481,2.409481,Automobile shop,(5.4, 338.3, 4.5)
NAV064_t3,0,-4.1,263,2.416283,2.416283,Automobile shop,(5.6, 338.3, 4.5)
NAV064_t3,0,-4.1,264,2.423219,2.423219,Automobile shop,(5.8, 338.3, 4.5)
NAV064_t3,0,-4.1,265,2.430148,2.430148,Automobile shop,(5.9, 338.4, 4.5)
NAV064_t3,0,-4.1,266,2.437083,2.437083,Automobile shop,(6.0, 338.5, 4.6)
NAV064_t3,0,-4.1,267,2.444097,2.444097,Automobile shop,(6.1, 338.6, 4.6)
NAV064_t3,0,-4.1,268,2.451027,2.451027,Automobile shop,(6.2, 338.7, 4.7)
NAV064_t3,0,-4.1,269,2.45798,2.45798,Automobile shop,(6.3, 338.8, 4.8)
NAV064_t3,0,-4.1,270,2.464892,2.464892,Automobile shop,(6.4, 338.8, 4.9)
NAV064_t3,0,-4.1,271,2.471984,2.471984,Automobile shop,(6.5, 338.9, 5.0)
NAV064_t3,0,-4.1,272,2.478782,2.478782,Automobile shop,(6.5, 339.0, 5.1)
NAV064_t3,0,-4.1,273,2.485923,2.485923,Automobile shop,(6.6, 339.1, 5.2)
NAV064_t3,0,-4.1,274,2.49261,2.49261,Automobile shop,(6.6, 339.3, 5.3)
NAV064_t3,0,-4.1,275,2.499631,2.499631,Automobile shop,(6.6, 339.4, 5.3)
